type,id,lon,lat
Hospital,1,-71.10568060531216,42.33982866834971
Hospital,2,-71.1479797468721,42.34958256243005
Hospital,3,-71.0635155837915,42.34965180606956
Hospital,4,-71.55473313558319,42.35530397190025
Hospital,5,-71.06645059319797,42.363088674178
Hospital,6,-71.0687721041268,42.36320638537187
Hospital,7,-71.13423773153694,42.373894410361174
Hospital,8,-71.10432577080972,42.37473640920728
Hospital,9,-71.0397496940688,42.40932831657088
Hospital,10,-71.11149734929221,42.425969438694295
Hospital,11,-71.37598358822713,42.451598916770585
Hospital,12,-71.06110824691841,42.46022179117508
Hospital,13,-71.12278520731363,42.46597458571903
Hospital,14,-71.2055668811154,42.48489262505172
Hospital,15,-70.97973220634286,42.50193060210228
Hospital,16,-70.90665878148968,42.511066253548535
Hospital,17,-70.94671436435176,42.53743282960886
Hospital,18,-70.68065454512731,42.62520347895315
Hospital,19,-71.52869556246355,42.13318713479981
Hospital,20,-70.95420605556093,42.1757245525181
Hospital,21,-71.20206073196225,42.188579592319726
Hospital,22,-71.07764517233355,42.25153044762241
Hospital,23,-71.23665236730433,42.27717533802381
Hospital,24,-71.06605058890175,42.2780386578327
Hospital,25,-71.3353759855718,42.28034156262756
Hospital,26,-71.41860522711184,42.28433242186657
Hospital,27,-71.12817461844914,42.3014439600516
Hospital,28,-71.24576849785042,42.330759449243786
Hospital,29,-71.0729576690406,42.334722477231644
Hospital,30,-71.1074810738079,42.33611515620587
Hospital,31,-71.07088203224164,42.33686248613535
Hospital,32,-71.10488285587432,42.337474474477084
Hospital,33,-71.10908060603116,42.33780866691366
Hospital,34,-70.8754624808915,42.56390877122485
Community Health Center,35,-71.14411264960236,42.36193246559562
Community Health Center,36,-71.13770061622171,42.35205866888491
Community Health Center,37,-71.05512341328928,42.36723061985272
Community Health Center,38,-71.07395168374269,42.33362073233877
Community Health Center,39,-71.09032060057592,42.34861267059085
Community Health Center,40,-71.07492059448003,42.3382986681399
Community Health Center,41,-71.07097059377278,42.33639866905407
Community Health Center,42,-71.07301783798451,42.340396590146746
Community Health Center,43,-71.16919562552604,42.3506906683176
Community Health Center,44,-71.11187564317254,42.374446104743754
Community Health Center,45,-71.09679952500653,42.36469237016741
Community Health Center,46,-71.10432577080972,42.37473640920728
Community Health Center,47,-71.10432577080972,42.37473640920728
Community Health Center,48,-71.10085602330129,42.37400129892789
Community Health Center,49,-71.12296322159575,42.3915777872075
Community Health Center,50,-71.10432577080972,42.37473640920728
Community Health Center,51,-71.10432577080972,42.37473640920728
Community Health Center,52,-71.10432577080972,42.37473640920728
Community Health Center,53,-71.08539373560514,42.37306572211132
Community Health Center,54,-71.06425059353585,42.3771686763401
Community Health Center,55,-71.04005411693126,42.4000725730242
Community Health Center,56,-71.04016061668602,42.39437024453204
Community Health Center,57,-71.03920353165162,42.39611708683681
Community Health Center,58,-71.07191059088348,42.28997865954196
Community Health Center,59,-71.0572414906288,42.31200398702374
Community Health Center,60,-71.0677610150889,42.30588463599901
Community Health Center,61,-71.0720148786179,42.289373139657044
Community Health Center,62,-71.05944960478416,42.30443869769651
Community Health Center,63,-71.07186059124939,42.29587866126991
Community Health Center,64,-71.07604152386529,42.28544738380592
Community Health Center,65,-71.03818058453871,42.372278676322544
Community Health Center,66,-71.0397496940688,42.40932831657088
Community Health Center,67,-71.04477612993803,42.40892548565925
Community Health Center,68,-71.0565063259,42.407569876525194
Community Health Center,69,-71.05651298804487,42.40540999898616
Community Health Center,70,-71.04368673075372,42.41445779257323
Community Health Center,71,-71.41725875535258,42.27729140586565
Community Health Center,72,-71.41362063696509,42.27693406540632
Community Health Center,73,-71.41779462672942,42.27992445957397
Community Health Center,74,-71.10366060281072,42.310818662490064
Community Health Center,75,-71.1020006035461,42.32448866509522
Community Health Center,76,-71.11392580671071,42.3133226985769
Community Health Center,77,-70.943699683807,42.46511457562334
Community Health Center,78,-70.98455410880317,42.47062908039779
Community Health Center,79,-70.94359174607467,42.47698351143582
Community Health Center,80,-70.93307674927483,42.47365421787055
Community Health Center,81,-71.07279566248211,42.419848487320635
Community Health Center,82,-71.09403709489693,42.26996538037133
Community Health Center,83,-70.97496602781197,42.54424682096504
Community Health Center,84,-71.01180546413447,42.41142603943918
Community Health Center,85,-71.01201233696032,42.41012096880567
Community Health Center,86,-70.9922318767018,42.40817450506487
Community Health Center,87,-70.9922318767018,42.40817450506487
Community Health Center,88,-71.00712662699259,42.41232830939458
Community Health Center,89,-71.12775260890814,42.28714465715741
Community Health Center,90,-71.0976552837486,42.319793598271986
Community Health Center,91,-71.08816835472632,42.335537753610865
Community Health Center,92,-71.09298334933837,42.39210949963898
Community Health Center,93,-71.10605141290083,42.384945840516814
Community Health Center,94,-71.0956613656329,42.386781505757
Community Health Center,95,-71.10957374192245,42.39002548075339
Community Health Center,96,-71.08201544301029,42.390902584069494
Community Health Center,97,-71.04821690449853,42.336862840740295
Community Health Center,98,-71.04852058656904,42.33761566872584
Community Health Center,99,-71.04105232456168,42.347952807908385
Licensed Clinic,100,-71.42048103706256,42.50244648024986
Licensed Clinic,101,-71.41664179940281,42.4973733586583
Licensed Clinic,102,-71.13411065194383,42.36076867034809
Licensed Clinic,103,-71.18520266757945,42.42437050647248
Licensed Clinic,104,-71.4659992394845,42.2547058232022
Licensed Clinic,105,-71.2737769275497,42.49140895475066
Licensed Clinic,106,-71.25913923705224,42.500855430670974
Licensed Clinic,107,-70.89221402942316,42.576278968312145
Licensed Clinic,108,-70.88607208063702,42.559699136254075
Licensed Clinic,109,-70.88948649231503,42.57747734070443
Licensed Clinic,110,-71.46128330344173,42.114688361664975
Licensed Clinic,111,-71.0986920809932,42.31992618146827
Licensed Clinic,112,-71.10193924421135,42.29960407364399
Licensed Clinic,113,-71.06877211757222,42.36320637191793
Licensed Clinic,114,-71.0583534240296,42.35928935398922
Licensed Clinic,115,-71.06316059435471,42.342598640795146
Licensed Clinic,116,-71.06433662557882,42.34292121986414
Licensed Clinic,117,-71.06927061514756,42.33237864250223
Licensed Clinic,118,-71.07596614470954,42.33345321986513
Licensed Clinic,119,-71.06359062249727,42.35248866283147
Licensed Clinic,120,-71.0728023564489,42.3336556875486
Licensed Clinic,121,-71.09722744391168,42.32031877118042
Licensed Clinic,122,-71.04611131874294,42.31945199274021
Licensed Clinic,123,-71.08507060149175,42.30260865962925
Licensed Clinic,124,-71.07581340890862,42.347960709564276
Licensed Clinic,125,-71.10108447092692,42.345621827096544
Licensed Clinic,126,-71.05430062356358,42.35746866382648
Licensed Clinic,127,-71.09841208389552,42.344128639286055
